Country,Latitude,Longitude,SiteID,SiteName,Slope,Profile cu,ele30m,Tangential,Aspect
Great Britain,54.98290,-3.07520,S6287,Clochmabane Stane,2.12203,0.00036,9.00000,0.00034,280.93506
Great Britain,51.85160,-0.24737,S6288,Codicote,1.14607,0.00179,96.00000,-0.00095,348.33630
Great Britain,51.45780,-3.24804,S6289,Coed Y Cwmdda,4.86058,0.00030,58.00000,-0.00072,8.20361
Great Britain,51.18100,-0.35895,S6290,Coldharbour,18.98189,-0.00100,258.00000,0.00036,352.56787
Great Britain,51.41930,0.35458,S6291,Coldharbour Road,1.60551,0.00085,47.00000,0.00016,313.81924
Great Britain,56.30510,-3.15083,S6292,Collessie,0.80992,-0.00091,62.00000,0.00060,59.05294
Great Britain,52.74740,-3.15418,S6293,Collfryn,6.35777,-0.00017,100.00000,-0.00190,196.87842
Great Britain,50.50960,-4.58127,S6294,Colliford Reservoir,1.83148,-0.00200,246.00000,0.00003,187.26804
Great Britain,50.79650,0.23371,S6295,Combe Hill,16.37056,0.00154,154.00000,0.00167,277.49063
Great Britain,51.95350,-1.77734,S6296,Condicote,1.97329,-0.00066,189.00000,0.00003,55.25405
Great Britain,56.63010,-3.08245,S6297,Cookston Farm,2.57964,-0.00368,55.00000,-0.00019,279.36603
Great Britain,52.36070,-3.74626,S6298,Copa Hill,25.49534,0.00175,382.00000,0.00011,262.83853
Great Britain,51.88100,-3.44281,S6299,Corn Du,19.25467,0.00855,855.00000,0.00349,333.89761
Great Britain,51.32560,1.35477,S6300,Cottington Lane,1.60396,0.00193,13.00000,0.00116,313.76050
Great Britain,52.05900,-0.70902,S6301,Cotton Valley,1.15115,-0.00236,59.00000,0.00024,348.38889
Great Britain,51.44460,-2.81162,S6302,Court Hill,10.98879,-0.00124,49.00000,-0.00238,293.57806
Great Britain,54.07910,-0.54013,S6303,Cowlam,1.21606,0.00125,175.00000,0.00146,229.62550
Great Britain,51.75380,-4.48643,S6304,Coygan Camp,20.62673,0.00227,29.00000,0.00289,336.57407
Great Britain,50.82650,-2.05233,S6305,Crab Farm,3.46100,0.00062,101.00000,0.00025,327.65097
Great Britain,58.37080,-3.40539,S6306,Craigna Feich,11.53789,-0.00084,161.00000,0.00009,199.66013
Great Britain,50.92940,-2.00142,S6307,Cranborne Chase,2.77451,0.00077,70.00000,0.00228,293.34283
Great Britain,51.45360,-0.96654,S6308,Crane Wharf,0.00000,0.00000,42.00000,0.00000,0.00000
Great Britain,54.75220,-2.00001,S6309,Crawley Edge,4.03051,-0.00049,321.00000,-0.00263,293.37500
Great Britain,56.50950,-4.33698,S6310,Creag Caillich,14.55499,-0.00053,888.00000,0.00028,9.85834
Great Britain,56.50130,-4.33812,S6311,Creagna Caillich,20.32993,0.00270,689.00000,0.00113,247.99266
Great Britain,52.56000,0.76000,S6312,Cressingham,0.00000,0.00000,42.00000,0.00000,0.00000
