,country,latitude,longitude,siteid,sitename,slope,profile,tangential,aspect,elevation,lakes_distance,rivers_distance,borders_distance
188,Great Britain,52.3096,0.6143,S2583,Lackford Heath,1.32995,0.0009699999999999999,0.00013000000000000002,31.505470000000003,11,4.354263208,0.40309386,0.513101687
189,Great Britain,55.3094,-1.5525,S2584,"Lacustrine mud exposed in seacliff: multicomponent (Meso, BA) site",0.0,0.0,0.0,0.0,0,2.773192481,0.0038503120000000003,0.0038503120000000003
190,Great Britain,57.993,-4.40244,S2595,Lairg,8.25427,-0.00288,0.0011,175.20718,0,0.049838412,0.085322767,0.085322767
191,Great Britain,51.5481,-1.5341,S2597,Lambourn,5.06538,-0.002,0.00159,323.61578,68,4.169373931,0.540065585,0.6335652970000001
192,Great Britain,54.4629,-3.1202,S2602,Langdale,10.051919999999999,-0.00065,-1e-05,191.84439,479,2.131384868,0.21807821600000002,0.21807821600000002
193,Great Britain,52.3911,-2.3086,S2803,Lightmarsh Farm,7.3871199999999995,-0.00018999999999999998,-0.0019399999999999999,255.23102000000003,82,4.221389502,0.48900297,0.615505932
194,Great Britain,55.9754,-3.6186,S2815,Linlithgow,2.83026,-0.00133,-0.00294,115.9373,58,0.726655653,0.045902505,0.045902505
195,Ireland,52.1833,-8.9,S2819,Lisduggan North,6.87286,-0.00165,-0.00252,135.20238,165,0.6028833060000001,0.45010289,0.45010289
196,Great Britain,55.4945,-5.1126,S2821,Lithics working site,9.34416,-0.00126,0.00172,24.68235,278,0.7295986959999999,0.020467853,0.020467853
197,Great Britain,51.6656,-4.7318,S2822,Little Hoyle Cave,1.99728,-0.00175,-0.0018,68.09884,258,2.278524794,0.007079506,0.007079506
